Class, Accuracy 
"car",99.05913472175598
"car",90.26482701301575
"car",84.01606678962708
"car",82.53112435340881
"car",74.12238717079163
"car",47.03805148601532
"car",29.56794500350952
"person",78.68150472640991
"person",49.947163462638855
